origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
ORD,EAU,UA 5122,UAL,OO 5122,SKW,2025-11-24 12:40:00,Arr 1359,2025-11-24,False
RIW,DEN,UA 5123,UAL,OO 5123,SKW,2025-11-24 14:19:00,Arr 1534,2025-11-24,False
ORD,EAU,UA 5124,UAL,OO 5124,SKW,2025-11-24 21:20:00,Arr 2311 (+30min),2025-11-24,False
JLN,DEN,UA 5125,UAL,OO 5125,SKW,2025-11-24 18:19:00,Arr 1938 (+14min),2025-11-24,False
LAF,ORD,UA 5126,UAL,OO 5126,SKW,2025-11-24 14:47:00,Arr 1430,2025-11-24,False
ORD,MCW,UA 5126,UAL,OO 5126,SKW,2025-11-24 16:50:00,Arr 1847 (+31min),2025-11-24,False
PRC,DEN,UA 5127,UAL,OO 5127,SKW,2025-11-24 10:04:00,Arr 1155,2025-11-24,False
SHR,DEN,UA 5128,UAL,OO 5128,SKW,2025-11-24 14:14:00,Arr 1543,2025-11-24,False
LBL,DEN,UA 5129,UAL,OO 5129,SKW,2025-11-24 19:24:00,Arr 1936,2025-11-24,False
RIW,DEN,UA 5130,UAL,OO 5130,SKW,2025-11-24 05:15:00,Arr 0640,2025-11-24,False
PIR,DEN,UA 5131,UAL,OO 5131,SKW,2025-11-24 19:03:00,Arr 2014 (+29min),2025-11-24,False
DEN,COD,UA 5132,UAL,OO 5132,SKW,2025-11-24 20:45:00,Arr 2203,2025-11-24,False
DEN,LBF,UA 5133,UAL,OO 5133,SKW,2025-11-24 07:55:00,Arr 0951,2025-11-24,False
